col,X,Y,row,elevation,system:index
4817,698940.9079528495,186657.4611196709,215,21.774149,287_0
4832,698985.9023527267,186609.46709313532,231,22.848475,288_0
4829,698976.9034727511,186618.46597311075,228,22.323961,289_0
4828,698973.9038460928,186621.46559976923,227,22.046925,290_0
4826,698967.9045927757,186627.4648530862,225,21.749054,291_0
4825,698964.9049661173,186630.46447974467,224,21.749054,292_0
4817,698940.9079528495,186654.46149301244,216,21.774149,293_0
4831,698982.9027260682,186609.46709313532,231,22.785202,294_0
4827,698970.9042194342,186621.46559976923,227,22.046925,295_0
4827,698970.9042194342,186621.46559976923,227,22.046925,296_0
4826,698967.9045927757,186624.4652264277,226,21.749054,297_0
4826,698967.9045927757,186624.4652264277,226,21.749054,298_0
4824,698961.9053394588,186630.46447974467,224,21.749054,299_0
4823,698958.9057128003,186633.46410640312,223,21.754921,300_0
4822,698955.9060861418,186636.4637330616,222,21.754921,301_0
4822,698955.9060861418,186636.4637330616,222,21.754921,302_0
4821,698952.9064594834,186639.46335972007,221,21.754921,303_0
4830,698979.9030994097,186609.46709313532,231,22.785202,304_0
4828,698973.9038460928,186615.46634645227,229,22.046925,305_0
4823,698958.9057128003,186630.46447974467,224,21.75635,306_0
4823,698958.9057128003,186630.46447974467,224,21.75635,307_0
4820,698949.9068328249,186639.46335972007,221,21.673708,308_0
4816,698937.908326191,186651.461866354,217,21.858244,309_0
4816,698937.908326191,186651.461866354,217,21.858244,310_0
4827,698970.9042194342,186615.46634645227,229,22.046925,311_0
4827,698970.9042194342,186615.46634645227,229,22.046925,312_0
4819,698946.9072061664,186639.46335972007,221,21.673708,313_0
4818,698943.907579508,186642.46298637852,220,21.858244,314_0
4817,698940.9079528495,186645.46261303703,219,21.858244,315_0
4817,698940.9079528495,186645.46261303703,219,21.858244,316_0
4816,698937.908326191,186648.4622396955,218,21.858244,317_0
4816,698937.908326191,186648.4622396955,218,21.858244,318_0
4829,698976.9034727511,186606.46746647687,232,22.433628,319_0
4827,698970.9042194342,186612.4667197938,230,22.046925,320_0
4818,698943.907579508,186639.46335972007,221,21.774965,321_0
4829,698976.9034727511,186603.4678398184,233,22.433628,322_0
4829,698976.9034727511,186603.4678398184,233,22.433628,323_0
4827,698970.9042194342,186609.46709313532,231,22.433628,324_0
4818,698943.907579508,186636.4637330616,222,21.774965,325_0
4818,698943.907579508,186636.4637330616,222,21.774965,326_0
4818,698943.907579508,186636.4637330616,222,21.774965,327_0
4828,698973.9038460928,186603.4678398184,233,22.433628,328_0
4826,698967.9045927757,186606.46746647687,232,22.267096,329_0
4827,698970.9042194342,186600.4682131599,234,22.320574,330_0
4827,698970.9042194342,186600.4682131599,234,22.320574,331_0
4825,698964.9049661173,186606.46746647687,232,22.267096,332_0
4825,698964.9049661173,186606.46746647687,232,22.267096,333_0
4826,698967.9045927757,186600.4682131599,234,22.622124,334_0
4825,698964.9049661173,186603.4678398184,233,22.267096,335_0
4825,698964.9049661173,186600.4682131599,234,22.622124,336_0
4825,698964.9049661173,186600.4682131599,234,22.622124,337_0
